Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Глазов;8578;1726;0.20121240382373515;2;2;2;5349;1;863
Егорьевск (Егорьевский район);34299;7890;0.23003586110382226;12;25;11;3481;2;717
Мытищи;99246;32766;0.3301493259174173;11;13;11;9022;1;2979
Братск;12088;2760;0.228325612177366;6;19;6;3356;3;460
Михайловка;4800;722;0.15041666666666667;1;11;1;5800;11;722
Лесные Поляны (Пушкинский район);13187;1949;0.14779707287480093;4;42;2;3466;10;974
Муром;39832;5202;0.1305985137577827;8;46;7;5616;6;743
Касимов;6517;1723;0.2643854534294921;1;13;1;8017;13;1723
Магадан;23032;3603;0.15643452587704063;3;19;2;9849;6;1802
Воркута;24122;6954;0.28828455351960863;5;12;5;5724;2;1391
Митино (Волоколамский район);5521;922;0.16699873211374752;3;8;2;3536;3;461
Ларюшино (Одинцовский район);12000;-1578;-0.1315;1;1;1;12450;1;-1578
Соликамск;7172;1393;0.19422755158951477;4;6;3;2543;2;464
Великий Новгород;28872;7166;0.24819894707675255;10;23;10;3957;2;717
Суханово (Ленинский район);1710;210;0.12280701754385964;1;1;1;2010;1;210
Павловский;220788;68791;0.3115703752015508;26;26;26;9006;1;2646
Володарского (Ленинский район);5325;416;0.07812206572769953;2;2;2;2712;1;208
Птичное (Наро-Фоминский район);7102;3100;0.43649676147564065;2;20;1;4376;10;3100
Майкоп;7275;1510;0.20756013745704469;5;27;5;2118;5;302
Новокузнецк;21009;4683;0.22290446951306583;5;33;5;4872;7;937
Ступино (Домодедовский район);274;43;0.15693430656934307;1;3;1;1567;3;43
Заречье (Одинцовский район);24689;2576;0.10433796427558832;7;44;6;3737;6;429
Большое Свинорье (Наро-Фоминский район);22140;4455;0.20121951219512196;1;4;1;35889;4;4455
Норильск;19283;3242;0.1681273660737437;4;5;4;6521;1;810
Кингисепп;10333;200;0.019355463079454176;5;28;4;2617;6;50
Владикавказ;14613;1645;0.11257099842605899;4;12;3;5016;3;548
Мотяково (Люберецкий район);29119;4579;0.15725127923349017;8;45;3;4417;6;1526
Черноголовка (Ногинский район);43836;12337;0.28143534994068803;13;38;12;3741;3;1028
Арзамас;12957;834;0.06436675156286177;5;8;4;3141;2;208
Нижний Тагил;13616;2189;0.16076674500587543;6;10;6;2918;2;365
Юбилейный;848;56;0.0660377358490566;1;1;1;1148;1;56
Находка;7199;4479;0.6221697457980275;1;1;1;9249;1;4479
Голицыно (Одинцовский район);66778;11784;0.17646530294408339;19;76;17;3945;4;693
Коммунарка (Ленинский район);17943;6155;0.3430307083542328;5;27;4;5297;5;1539
Дзержинск;11961;1300;0.10868656466850597;3;12;3;4937;4;433
Кунгур;12451;2911;0.23379648221026422;2;20;2;7954;10;1456
Немчиновка (Одинцовский район);37018;4714;0.1273434545356313;10;79;8;3922;8;589
Сосновоборск;5889;765;0.12990320937340805;1;1;1;6889;1;765
Грозный;24852;-2657;-0.10691292451311765;2;14;2;13426;7;-1328
Гатчина;11573;-624;-0.05391860364641839;3;10;3;4408;3;-208
Купавна (Талдомский район);30453;3695;0.12133451548287524;9;30;7;3877;3;528
Ухта;38308;5919;0.1545108071421113;8;56;7;5457;7;846
Смышляевка (Самарская область);7314;1608;0.21985233798195242;1;6;1;8526;6;1608
Кубинка (Одинцовский район);19061;4792;0.2514033891191438;8;55;6;2697;7;799
Новороссийск;81846;16611;0.20295432886152043;18;143;17;5407;8;977
Ромашково (Одинцовский район);49282;8175;0.1658820664745749;13;80;7;5023;6;1168
Солнечногорск (Солнечногорский район);29018;5604;0.19312151078640843;12;34;9;2718;3;623
Березники;18678;5217;0.27931256023128814;3;33;3;6976;11;1739
Саранск;65287;12298;0.18836828158745234;10;43;10;7358;4;1230
Селятино (Наро-Фоминский район);40457;5406;0.13362335318980645;11;39;10;3872;4;541
Королев;58881;6409;0.10884665681629048;17;78;9;3678;5;712
Монино (Щелковский район);30479;2286;0.07500246071065324;9;43;5;3598;5;457
Петрово-Дальнее (Красногорский район);5849;1025;0.1752436313899812;2;7;2;3199;4;512
Всеволожск;17075;3756;0.21997071742313323;5;14;5;4135;3;751
Усть-Кут;3203;794;0.24789260068685606;1;8;1;4603;8;794
Можайск (Можайский район);36856;8039;0.2181191664857825;21;120;17;2058;6;473
Алапаевск;34267;2666;0.0778007996031167;4;21;2;9208;5;1333
Авиационный (Домодедовский район);9285;1532;0.16499730748519117;4;33;1;3945;8;1532
Сыктывкар;13884;3863;0.2782339383462979;4;12;4;5446;3;966
Мытищи 16 (Мытищинский район);24711;4011;0.16231637732184048;12;76;8;2557;6;501
Грибки (Мытищинский район);29009;5080;0.17511806680685305;2;16;1;14604;8;5080
Железногорск;3449;795;0.23050159466512032;1;1;1;4449;1;795
Сертолово;15072;4916;0.32616772823779194;2;47;2;8561;24;2458
Перхушково (Одинцовский район);1040;241;0.23173076923076924;1;1;1;3889;1;241
ИнтернетДоставка;6064;1506;0.2483509234828496;5;5;1;1213;1;1506
Лобня;424;72;0.16981132075471697;1;3;1;724;3;72
Кореновск;5675;1240;0.2185022026431718;1;4;1;6425;4;1240
Осташков;7405;1033;0.13950033760972316;1;11;1;9445;11;1033
Минеральные Воды;13939;3952;0.28352105602984434;6;32;3;3163;5;1317
Городец;4320;1371;0.3173611111111111;1;2;1;5520;2;1371
Ногинск-5 (Ногинский район);4680;649;0.13867521367521368;3;9;2;3187;3;324
Краснознаменск (Московская область район);5041;971;0.19262051180321366;2;11;1;2570;6;971
Талдом (Талдомский район);7158;1995;0.2787091366303437;3;4;3;2686;1;665
Сергиев;70472;18907;0.26829095243500967;12;13;12;7773;1;1576
Рубцовск;2727;71;0.026035936927026035;1;1;1;3627;1;71
Внуково (Ленинский район);5750;1648;0.2866086956521739;1;1;1;6150;1;1648
Калининград;32129;5765;0.17943291107721995;7;36;7;5701;5;824
Магнитогорск;121468;18546;0.15268218790134028;24;79;23;5450;3;806
Бронницы (Московская область район);45684;6458;0.141362402591717;13;62;10;3876;5;646
Красноармейск (Московская область район);12713;1791;0.14087941477228033;4;23;3;3601;6;597
Старая Купавна (Ногинский район);29161;8310;0.2849696512465279;14;26;12;2990;2;692
Удельная (Раменский район);16566;2538;0.15320536037667512;7;19;4;2416;3;634
Саров;11017;1102;0.10002723064355087;3;4;3;4455;1;367
Ковров;3974;859;0.21615500754906894;2;13;2;2628;6;430
Карпово (Раменский район);380;47;0.12368421052631579;1;2;1;809;2;47
