Кластер 1;Кластер 2;Кластер 3;Кластер 4
2745;3799;1918;8635
12987;3575;1262;56625
1450;238;4690;4679
812;1953;319;8199
9480;1369;1830;3799
1401;1899;9376;3700
6293;1662;129;10913
4595;739;909;2464
7186;714;500;32290
8889;2146;1109;24990
2828;6242;3579;30538
6930;2799;1898;31999
3547;899;2226;29396
138;1975;259;25712
884;1337;2149;13800
3339;2071;731;5039
5994;4368;1815;2619
2997;7065;1140;1967
600;3800;1598;23600
2822;499;1279;4300
2900;24244;4397;3250
2098;658;770;990
4950;2184;1199;15389
3956;399;2060;1620
1997;4881;636;7950
3029;1399;1731;5650
1200;14556;35;2050
4330;1655;3178;20700
1199;5811;3788;23273
1980;3152;1886;29125
12872;995;1628;21990
4914;3399;799;2375
1342;1199;2198;14600
1479;24074;427;27560
7314;4699;1691;675
1609;9534;1039;4030
5314;4061;1620;22687
1740;4254;782;950
15001;2655;4948;2389
3017;6487;2160;18900
3183;12250;5864;3950
3147;3634;8580;2565
1782;4966;1237;5359
2973;4597;5399;4679
4919;739;1280;14848
2883;1673;797;2009
989;8266;2799;12160
4949;99;1301;28500
3874;3199;920;2755
3812;3581;7917;5499
1365;517;1451;19000
3426;3089;1339;12720
3688;2092;2405;10099
2718;749;559;4180
1674;13660;620;27300
3068;6813;843;11084
3923;8223;2748;13800
3409;1398;999;8929
1493;7252;1508;24700
7063;4088;4209;7550
2436;2004;2681;2090
2478;1948;2909;4085
5002;4567;8926;9929
615;1539;4919;1950
4241;1999;6056;8190
7795;2577;989;4669
2407;718;3041;32990
1970;1499;4300;17898
1855;2499;4173;6799
5201;2699;320;117701
2825;506;6792;3907
2720;2999;2202;18650
1118;699;901;19000
7565;697;1790;1399
2098;2578;198;383
5536;159;2256;19000
388;749;665;1875
8140;5799;600;2490
5076;3659;487;13300
2099;299;667;6242
2471;2036;968;4460
8568;3872;530;4679
9085;1148;4100;13200
4826;1580;2421;18076
1025;1999;2402;10300
4870;259;6736;3325
7241;339;10502;2242
3956;6259;4930;2950
21804;1702;2682;475
301;2147;1329;2099
8056;1729;519;3030
8632;3134;1931;5750
2467;978;1710;759
2224;2918;1698;13700
16397;835;1849;9537
2001;3299;463;1710
1875;5227;1699;3962
1430;600;420;19990
1989;2207;654;5215
1529;7545;381;2025
7064;4361;1809;14018
5771;4853;2090;2470
11662;5961;899;29100
3006;15591;719;4300
2248;15590;2389;15920
3978;658;2059;5121
9710;399;589;33190
1140;799;663;1230
2257;3099;218;5453
2185;1046;1954;1660
2065;856;1867;1080
2090;7851;1906;11900
4311;2698;2221;13500
5564;2499;509;2164
3212;1999;510;7654
6278;5688;5703;2489
3077;4179;3538;2800
8222;3322;867;999
1978;2889;944;24393
1055;3040;1111;1493
767;1257;2949;6164
2967;8097;888;1083
10322;599;730;3974
469;2499;2060;8425
2500;1337;1155;9499
4945;891;4161;8265
921;799;199;526
2888;1414;978;17870
716;2099;2954;12087
1366;7352;2530;20990
3651;27462;780;7600
2098;2510;1752;17612
718;6467;1115;8990
3790;7198;1109;9699
1261;5592;1964;1768
2673;2053;231;7499
3071;4118;1429;4799
1359;3099;2209;10630
1348;635;339;580
1450;1439;4466;2070
4322;4299;1829;3895
1996;1799;1918;19950
7912;2199;846;8792
659;1896;540;16150
5017;2499;4631;15449
797;5069;1499;16125
2098;7583;1329;5069
5000;600;2257;7499
2690;4148;3369;19670
3898;359;2999;29670
2882;10988;1440;7150
1904;1557;1642;1800
7947;3785;2476;5359
2041;2499;520;12587
1904;5798;818;2100
3755;1269;5063;475
3968;5071;349;4990
2500;799;10675;5140
9420;3849;2280;3040
1499;906;2594;2470
1887;1999;489;13989
2113;2700;1763;1520
1590;699;4062;22897
5346;2199;980;1625
999;4687;979;1903
5740;1796;169;11970
4015;2203;490;2650
3108;4237;1840;6840
1627;2099;794;4547
1450;5435;1379;1400
1506;2795;950;20235
1365;5112;7213;25840
9003;1498;1780;5225
2398;2658;2487;5500
1058;559;1579;674
13120;999;1049;980
2322;1118;1594;7097
6155;2048;849;1305
952;2321;2879;712
7811;4608;5059;30364
693;1799;2221;18489
3990;8891;728;2100
3565;595;740;1454
825;964;822;1790
5780;3276;1409;3950
11410;3192;2508;2100
1450;7076;533;17400
3289;1097;1574;300
1430;2614;1606;1240
2718;9034;390;2715
3043;3273;5029;1890
944;1686;7811;5890
1484;9378;180;640
2843;339;1612;2070
3565;2961;6441;20595
2963;2499;733;1190
2098;587;2209;2850
3242;1198;286;2565
645;1864;1399;7590
1978;2292;760;12450
1899;1287;4532;4540
2643;4747;1848;1805
1499;1274;3369;27099
3956;3119;456;9409
989;3839;2600;3200
7143;2899;1638;5680
4592;2409;1399;9990
7960;2799;3303;3895
6688;2799;2519;9011
5964;898;800;4999
1450;349;776;427
1450;918;3799;20375
2147;6354;1571;11840
1661;4135;2200;10400
1904;799;3900;4890
2842;1397;1295;4599
15199;2131;4894;10792
1049;1579;1039;950
1230;2219;1047;22800
9280;759;8030;18995
4196;1193;2119;6799
5109;2299;309;7865
874;1997;2952;10640
1020;3652;3780;1370
2098;1198;4736;22215
959;516;150;3895
7831;1272;2982;7570
8273;858;2520;440
5676;5729;2029;1370
999;2907;1040;12400
1290;1499;1103;5990
4079;7083;3880;13990
3852;3999;4559;2350
27304;1099;2564;22450
4068;351;960;28975
1002;1537;2898;32589
7733;268;3959;6534
1442;3065;1155;1620
13001;3526;2743;4408
500;1497;21862;4282
790;958;568;2850
63081;3737;950;34400
640;799;12999;3895
707;508;960;37967
2098;1473;2830;9399
5013;8237;967;1230
2386;5095;2210;4520
13009;2917;569;4299
2090;3796;5960;3399
2651;870;470;45900
688;998;2196;6175
7729;1376;6599;3039
2350;6777;1149;3424
23760;798;1288;6680
1699;867;1579;7293
1127;1022;2600;4085
159;2699;2562;3702
4489;499;1943;25650
1499;1416;4597;1875
1152;563;638;1210
2515;3599;964;3736
3347;6207;999;2100
2221;16573;357;6725
1523;1396;390;1230
1471;4294;1002;2618
1720;1251;1340;1610
2836;3499;9238;11019
12338;20310;6198;27500
2116;2880;553;1590
999;499;3449;580
1224;4327;3320;2590
1837;1928;169;1250
4254;5199;519;5985
776;7099;645;24561
6500;769;538;285
2636;1058;652;6075
942;639;2244;9371
2378;1526;2450;2375
4373;458;3869;12720
3747;3998;2399;1137
688;1147;4435;2090
1366;3137;2941;21600
470;2366;2379;9400
3652;5011;3410;2989
1960;11847;1100;3220
820;4951;2209;4200
2468;399;3391;1230
2000;5898;759;2670
2273;499;2268;759
2727;2312;470;12078
4202;3398;9842;23940
672;1097;670;499
3174;3972;12721;5249
6723;4199;2962;45270
6108;8210;1953;26170
2812;2499;2990;3750
2369;6203;3088;1140
