Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
1789;4164;2269;1589;;;;;
1978;2726;289;1334;;;;;
732;2198;556;1152;;;;;
3299;820;1159;16999;;;;;
4183;1443;5452;14824;;;;;
608;397;524;1729;;;;;
1678;1288;603;1099;;;;;
1191;3148;329;6299;;;;;
4379;2533;1656;32389;;;;;
3062;2072;1816;18186;;;;;
438;2548;962;4119;;;;;
712;1368;1798;2279;;;;;
2039;847;2438;2599;;;;;
1747;1098;4638;26769;;;;;
518;1964;2249;15989;;;;;
1150;2148;629;8512;;;;;
3048;1991;7846;5993;;;;;
2359;452;398;5314;;;;;
2791;608;4797;5749;;;;;
4793;2628;1867;8170;;;;;
4689;1668;309;6606;;;;;
1549;1661;1126;21049;;;;;
1138;1947;426;2672;;;;;
714;448;3316;2708;;;;;
2342;5248;926;27900;;;;;
1109;298;1569;4639;;;;;
2146;847;1668;1089;;;;;
2796;1018;2316;28999;;;;;
2594;1277;2139;27347;;;;;
2799;5548;656;17867;;;;;
2749;1826;2478;8098;;;;;
2139;1998;1787;3519;;;;;
2197;348;649;1890;;;;;
1325;2048;2219;3478;;;;;
2003;6944;3558;2748;;;;;
1147;10993;994;7570;;;;;
1927;3148;3311;2189;;;;;
3163;5598;1199;12069;;;;;
1361;1898;1727;7039;;;;;
9069;1296;1657;2151;;;;;
2197;698;1334;12399;;;;;
1228;2648;2756;829;;;;;
807;1499;2128;3859;;;;;
2049;2275;1462;6309;;;;;
5441;1250;3429;2409;;;;;
3546;2850;617;4089;;;;;
9974;916;1047;3028;;;;;
3060;2342;1837;5598;;;;;
410;3987;2908;5360;;;;;
759;6098;1673;1205;;;;;
1089;3072;1716;15899;;;;;
3077;312;1099;16249;;;;;
5443;3260;1096;35699;;;;;
1417;378;1149;6111;;;;;
1209;5148;1639;3550;;;;;
1798;7295;1148;6898;;;;;
